city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
grand forks,us,47.91,-97.06,15.0,2.6,58.0,1.0
vasterhaninge,se,59.12,18.1,8.0,3.1,49.0,0.0
cortez,us,37.35,-108.58,17.0,7.2,27.0,1.0
bielsk podlaski,pl,52.77,23.19,6.01,4.26,64.0,0.0
grado,it,45.68,13.39,16.0,3.1,81.0,0.0
xiamen,cn,24.46,118.07,23.0,1.0,88.0,75.0
kalemie,cd,-5.95,29.2,23.26,2.06,100.0,48.0
zharkovskiy,ru,55.85,32.27,6.81,9.01,85.0,92.0
san cosme y damian,py,-27.32,-56.35,25.0,5.1,78.0,20.0
ballina,au,-28.87,153.57,19.71,2.76,100.0,76.0
sao jose da coroa grande,br,-8.9,-35.15,22.91,2.81,100.0,92.0
muskegon,us,43.23,-86.25,12.0,2.1,16.0,1.0
muros,es,42.77,-9.06,13.0,1.0,87.0,0.0
freeport,us,42.3,-89.62,12.0,1.5,43.0,75.0
pran buri,th,12.39,99.9,27.0,0.5,83.0,20.0
svetlaya,ru,46.54,138.33,2.94,0.76,93.0,0.0
malayal,ph,7.21,121.94,26.0,2.1,94.0,40.0
merauke,id,-8.49,140.4,28.21,5.01,90.0,68.0
evans,us,40.38,-104.69,7.0,2.1,70.0,90.0
zalantun,cn,48.0,122.72,10.56,1.71,49.0,0.0
port pirie,au,-33.18,138.01,24.0,2.1,60.0,0.0
kpalime,tg,6.9,0.63,23.26,2.26,87.0,20.0
urucara,br,-2.54,-57.76,24.11,1.21,96.0,8.0
