city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
mollendo,pe,-17.03,-72.02,15.94,1.01,85.0,24.0
nampula,mz,-15.12,39.26,20.46,2.76,78.0,0.0
burgeo,ca,47.61,-57.61,1.36,9.81,95.0,76.0
pitsunda,ge,43.16,40.34,11.0,3.0,87.0,75.0
crateus,br,-5.18,-40.68,22.86,1.96,86.0,12.0
turbat,pk,26.0,63.05,14.86,1.31,61.0,0.0
moron,mn,47.38,110.32,4.21,3.31,58.0,92.0
manuk mangkaw,ph,4.8,119.85,28.86,0.61,100.0,80.0
witu,ke,-2.39,40.44,26.84,3.31,81.0,92.0
krasnozerskoye,ru,53.98,79.24,9.31,7.26,53.0,24.0
morro agudo,br,-20.73,-48.05,20.0,1.0,56.0,0.0
brownsville,us,25.91,-97.49,28.0,8.2,74.0,75.0
puerto lempira,hn,15.27,-83.77,28.0,3.1,74.0,40.0
dongfeng,cn,42.67,125.53,7.66,6.76,100.0,100.0
valente,br,-11.41,-39.46,20.99,3.91,91.0,76.0
nanning,cn,22.83,108.3,23.0,2.0,88.0,0.0
dudinka,ru,69.41,86.18,-16.32,5.06,84.0,44.0
djibo,bf,14.1,-1.63,24.41,1.76,43.0,12.0
zlynka,ru,52.43,31.74,10.0,5.0,46.0,0.0
mozarlandia,br,-14.74,-50.57,24.31,2.21,72.0,8.0
santa maria,cv,16.6,-22.9,20.0,4.6,72.0,75.0
erkner,de,52.43,13.75,12.0,1.5,76.0,0.0
horn,at,48.66,15.66,15.0,2.6,67.0,0.0
victor harbor,au,-35.55,138.62,24.0,1.5,50.0,0.0
lukoyanov,ru,55.03,44.48,8.69,6.46,96.0,92.0
honningsvag,no,70.98,25.97,-3.24,3.66,100.0,12.0
biankouma,ci,7.74,-7.61,21.81,1.61,95.0,0.0
itarema,br,-2.92,-39.92,25.26,2.76,94.0,36.0
bada,ru,51.39,109.87,5.44,1.06,74.0,0.0
wageningen,sr,5.77,-56.69,23.66,1.76,100.0,100.0
turayf,sa,31.68,38.65,14.0,2.1,50.0,0.0
mabaruma,gy,8.2,-59.78,26.21,3.46,84.0,44.0
sterling,us,39.0,-77.4,15.0,2.6,40.0,75.0
san patricio,mx,19.22,-104.7,28.0,5.1,74.0,40.0
pemba,mz,-12.97,40.52,28.11,8.76,100.0,0.0
chipata,zm,-13.64,32.65,18.24,3.61,83.0,0.0
ekibastuz,kz,51.72,75.32,10.09,6.46,67.0,92.0
adilcevaz,tr,38.8,42.73,3.0,2.1,93.0,75.0
yucaipa,us,34.03,-117.04,35.0,7.7,14.0,75.0
alugan,ph,12.22,125.48,27.61,2.66,98.0,80.0
uyar,ru,55.81,94.33,3.84,3.56,49.0,76.0
sao filipe,cv,14.9,-24.5,20.71,6.11,100.0,76.0
douglas,us,31.51,-82.85,19.0,4.6,88.0,90.0
sanandaj,ir,35.31,47.0,12.0,4.1,50.0,40.0
manaus,br,-3.13,-59.98,28.0,1.5,74.0,20.0
